elevation_m,drainage_density_km_per_km2,storm_drain_proximity_m,historical_rainfall_intensity_mm_hr,return_period_years,G1_infra_vuln,G2_rain_x_return,G3_soil_x_rainfall,G4_is_very_low_elev,land_use,soil_group,storm_drain_type,rainfall_source,dem_source,risk_class,risk_class_encoded,latitude,longitude
32.67,7.87,140.0,19.9,10,17.789049823316617,199.0,19.9,0,6.0,0.0,0.0,3.0,4.0,Low,1,38.853632,-77.017289
33.82,4.67,60.6,48.0,5,12.976417609384136,240.0,96.0,0,1.0,1.0,1.0,4.0,3.0,Low,1,21.06506,105.831464
19.82,6.26,282.2,74.3,5,45.07980019201248,371.5,74.3,0,0.0,0.0,3.0,3.0,1.0,Low,1,22.6338,113.957179
7.71,6.32,47.9,41.1,2,7.579101931800741,82.2,41.1,0,6.0,0.0,1.0,1.0,4.0,Medium,2,41.393959,2.143102
12.56,9.53,117.6,23.1,100,12.339966065093321,2310.0,23.1,0,2.0,0.0,1.0,1.0,0.0,Low,1,31.350399,121.515148
6.57,8.34,264.2,44.2,10,31.678619090384785,442.0,0.0,0,2.0,4.0,4.0,1.0,0.0,Medium,2,23.148759,113.251212
48.99,5.44,181.7,43.4,50,33.40067389582004,2170.0,86.8,0,7.0,1.0,0.0,0.0,1.0,Low,1,37.646547,127.056846
13.78,4.67,127.2,21.6,2,27.237629041479572,43.2,43.2,0,0.0,1.0,4.0,1.0,3.0,Low,1,18.58017,73.955841
23.75,6.26,256.6,27.6,10,40.99034985567116,276.0,110.4,0,1.0,3.0,1.0,0.0,3.0,Low,1,55.632304,12.618777
11.33,6.71,32.3,54.6,10,4.813703705359605,546.0,163.8,0,0.0,2.0,2.0,3.0,0.0,Low,1,25.754888,-80.144672
30.025,6.68,208.8,50.4,100,31.257438237367914,5040.0,201.6,0,6.0,3.0,4.0,1.0,1.0,High,0,-27.576618,152.984225
5.85,7.91,52.0,39.7,5,6.573948705501005,198.5,0.0,0,7.0,4.0,2.0,2.0,1.0,Medium,2,-22.888814,-43.235628
1.34,5.24,91.6,18.8,10,17.48088267007124,188.0,75.2,1,7.0,3.0,1.0,2.0,4.0,Medium,2,41.498312,2.187095
51.99,7.15,91.4,42.5,10,12.783198904616917,425.0,85.0,0,2.0,1.0,1.0,3.0,3.0,Low,1,25.088306,121.57139
19.63,6.54,0.6,20.3,50,0.09174297898627067,1015.0,20.3,0,1.0,0.0,3.0,3.0,2.0,Low,1,41.398164,2.126905
6.15,7.75,334.2,56.3,25,43.122525003193545,1407.5,112.6,0,4.0,1.0,0.0,1.0,3.0,Medium,2,31.251165,121.46156
121.3,3.73,210.8,57.6,5,56.51459379465471,288.0,172.8,0,1.0,2.0,1.0,1.0,3.0,Low,1,37.707344,-122.367771
50.55,6.08,37.3,13.4,2,6.1348583308251134,26.8,40.2,0,7.0,2.0,2.0,0.0,3.0,Low,1,24.657116,46.606386
34.79,5.55,339.7749999999993,18.1,2,91.35118675461847,36.2,36.2,0,2.0,1.0,4.0,1.0,1.0,Low,1,-29.904586,31.047679
