experiment,config,model,cv_f2_mean,cv_f2_std,cv_f1w_mean,train_f2_mean,gap,n_features,recall_low,recall_medium,recall_high
final_configuration,PA_base_none,XGB,0.8844,0.0177,0.9184,1.0,0.1156,10,0.9498,0.8649,0.8377
final_configuration,PA_base_smote,XGB,0.8883,0.017,0.9218,1.0,0.1117,10,0.9532,0.8751,0.8334
final_configuration,PA_G3_none,XGB,0.8963,0.0189,0.9266,1.0,0.1037,11,0.9553,0.8787,0.8513
final_configuration,PA_G3_smote,XGB,0.8854,0.0187,0.92,1.0,0.1146,11,0.9546,0.8541,0.8429
final_configuration,PA_base_none,XGBRF,0.8467,0.0199,0.9059,0.9341,0.0874,10,0.9716,0.8206,0.7174
final_configuration,PA_base_smote,XGBRF,0.8969,0.0166,0.9202,0.9638,0.0668,10,0.9266,0.9361,0.8536
final_configuration,PA_G3_none,XGBRF,0.8566,0.0197,0.9135,0.941,0.0845,11,0.9774,0.8344,0.7248
final_configuration,PA_G3_smote,XGBRF,0.8963,0.0169,0.9168,0.9655,0.0692,11,0.9204,0.9303,0.8672
final_configuration,PA_base_none,HistGB,0.8883,0.0166,0.9222,1.0,0.1117,10,0.9542,0.8686,0.8399
final_configuration,PA_base_balanced,HistGB,0.8968,0.0152,0.9266,1.0,0.1032,10,0.9521,0.8839,0.8578
final_configuration,PA_G3_none,HistGB,0.8953,0.02,0.9269,1.0,0.1047,11,0.9576,0.8737,0.8503
final_configuration,PA_G3_balanced,HistGB,0.9056,0.0155,0.9309,1.0,0.0944,11,0.954,0.8831,0.8819
final_configuration,scale_none,Linear,0.5917,0.0186,0.6456,0.6016,0.0099,10,0.6426,0.4996,0.6731
final_configuration,scale_w1152,Linear,0.6005,0.0175,0.6435,0.6045,0.004,10,0.6355,0.4866,0.7406
final_configuration,scale_skew_none,Linear,0.5772,0.0189,0.6777,0.5868,0.0096,10,0.7626,0.3783,0.6002
final_configuration,scale_skew_w1152,Linear,0.5798,0.0205,0.6693,0.5902,0.0104,10,0.7325,0.3993,0.6213
final_configuration,scale_none,Huber,0.5885,0.018,0.6415,0.6005,0.012,10,0.6347,0.504,0.6688
final_configuration,scale_w1152,Huber,0.5968,0.0192,0.6394,0.6053,0.0085,10,0.6226,0.5083,0.7195
final_configuration,scale_skew_none,Huber,0.5752,0.0225,0.6778,0.5831,0.0079,10,0.7647,0.3819,0.5864
final_configuration,scale_skew_w1152,Huber,0.5774,0.0205,0.6635,0.5882,0.0107,10,0.7177,0.4058,0.6307
