Test Rank,Model,Pipeline,CV F2-macro,Train F2-macro,Train F1-weighted,Test F2-macro,Test F1-weighted,F2 gap,F1 gap
1,HistGB,Tree,0.9338346224738794,0.9639114484734409,0.9568215797388727,0.9388033501392735,0.9392298152848578,0.025108098334167384,0.01759176445401489
2,LightGBM,Tree,0.9097536326427693,0.9868361889927287,0.988632647895882,0.9385536961341429,0.9483187794439177,0.04828249285858588,0.040313868451964274
3,XGBoost,Tree,0.9020027588350417,0.9771519779127513,0.9790052173989713,0.9294476571855811,0.940044542687115,0.047704320727170235,0.03896067471185627
4,DecisionTree,Tree,0.8966121758566248,0.9468917554527477,0.9597259479491504,0.9270878863485982,0.937161953192348,0.019803869104149552,0.022563994756802486
5,RandomForest,Tree,0.9002593959188033,0.9394929071766613,0.9428772902333968,0.9160415740672464,0.9234083744517805,0.02345133310941494,0.01946891578161636
6,XGBRF,Tree,0.9030343154994263,0.9492741330548232,0.9506680473621875,0.8983583143325616,0.9164479976017702,0.050915818722261585,0.03422004976041726
7,SVM,Linear,0.7386223597382402,0.7778258204124381,0.829359910213109,0.796385862684577,0.8330432453525569,-0.01856004227213892,-0.003683335139447963
8,Ridge,Linear,0.5998519978495029,0.6043339596070693,0.6514636949391859,0.6237766793524714,0.6638535033560958,-0.019442719745402126,-0.012389808416909953
9,LinearRegression,Linear,0.603050489073018,0.6035846109824771,0.6482587232273952,0.6100580522842872,0.6552893232566247,-0.006473441301810157,-0.007030600029229506
10,Huber,Linear,0.6046883699601958,0.6029906343743575,0.6448778576802021,0.6098354702596462,0.6520911704988974,-0.006844835885288725,-0.0072133128186953055
11,Lasso,Linear,0.5778470101835309,0.5902746618534243,0.646089419520992,0.5820158897699308,0.6427295072073972,0.00825877208349346,0.0033599123135947817
