Model,Source,Config,CV F2-macro,Train F2-macro,Train F1-weighted
DecisionTree,trained,PA_G3_none,0.8966121758566248,0.9468917554527477,0.9597259479491504
RandomForest,trained,PA_base_smote,0.9002593959188033,0.9394929071766613,0.9428772902333968
XGBoost,trained,PA_G3_none,0.9020027588350417,0.9771519779127513,0.9790052173989713
XGBRF,trained,PA_base_smote,0.9030343154994263,0.9492741330548232,0.9506680473621875
LightGBM,trained,PA_G3_none,0.9097536326427693,0.9868361889927287,0.988632647895882
HistGB,trained,PA_G3_balanced,0.9338346224738794,0.9639114484734409,0.9568215797388727
LinearRegression,trained,scale_w1152,0.603050489073018,0.6035846109824771,0.6482587232273952
Ridge,trained,scale_base_none,0.5998519978495029,0.6043339596070693,0.6514636949391859
Lasso,trained,ohe_base_none,0.5778470101835309,0.5902746618534243,0.646089419520992
Huber,trained,scale_w1152,0.6046883699601958,0.6029906343743575,0.6448778576802021
SVM,trained,scale_skew_w123,0.7386223597382402,0.7778258204124381,0.829359910213109
